name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Sunrise Dam,Non Renewable,Natural Gas,28.4,24,Laverton,Western Australia,122.4392845,-29.09268344,Spark Ignition Reciprocating Engine
Wiluna Gold Mine,Non Renewable,Natural Gas,21,3,Wiluna,Western Australia,120.251884,-26.631568,
Paraburdoo (Standby),Non Renewable,Natural Gas,20,3,Innawanga,Western Australia,117.6136744,-23.22382354,
Telfer Gold Mine,Non Renewable,Natural Gas,159,3,Telfer,Western Australia,122.209103,-21.712911,
Amcor Gawler,Non Renewable,Distillate,4,,Kingsford,South Australia,138.765864,-34.550857,Compression Reciprocating Engine
Lonsdale,Non Renewable,Distillate,20,18,Lonsdale,South Australia,138.4910068,-35.10966855,Compression Reciprocating Engine
Pedler Creek,Renewable,Biogas,3,3,Mclaren Vale,South Australia,138.502094,-35.202321,Spark Ignition Reciprocating Engine
Wingfield I,Renewable,Biogas,5,5,Wingfield,South Australia,138.557247,-34.83482,Spark Ignition Reciprocating Engine
Wingfield II,Renewable,Biogas,5,5,Dry Creek,South Australia,138.548903,-34.832081,Spark Ignition Reciprocating Engine
Ladbroke Grove,Non Renewable,Natural Gas,80,2,Monbulla,South Australia,140.782692,-37.456673,Open Cycle Gas Turbine
Playford B,Non Renewable,Coal,240,4,Port Paterson,South Australia,137.78188,-32.539279,Steam Subcritical
Northern,Non Renewable,Coal,530,2,Port Paterson,South Australia,137.7882042,-32.54325419,Steam Subcritical
Berrimah,Non Renewable,Natural Gas,10,1,Berrimah,Northern Territory,130.919476,-12.426176,Gas Turbine
Landfill Management Services Shoal Bay,Renewable,Biogas,1.1,1,Holmes,Northern Territory,130.925408,-12.389174,
Tennant Creek,Non Renewable,Natural Gas,16.7,,Tennant Creek,Northern Territory,134.175285,-19.65493,Open Cycle Gas Turbine
Ron Goodin,Non Renewable,Natural Gas,44.6,,Sadadeen,Northern Territory,133.891175,-23.709109,Open Cycle Gas Turbine
Owen Springs,Non Renewable,Natural Gas,36,3,Hugh,Northern Territory,133.825487,-23.863611,Open Cycle Gas Turbine
Brewer,Non Renewable,Natural Gas,8.5,3,Hugh,Northern Territory,133.828143,-23.881698,Open Cycle Gas Turbine
Yulara,Non Renewable,Compressed Natural Gas,10.95,0,Yulara,Northern Territory,130.991181,-25.232313,Open Cycle Gas Turbine
Pine Creek,Non Renewable,Natural Gas,34.76,6,Pine Creek,Northern Territory,131.862362,-13.78561,Spark Ignition Reciprocating Engine
Katherine,Non Renewable,Natural Gas,34.7,,Cossack,Northern Territory,132.244506,-14.458693,Open Cycle Gas Turbine
Warrego,Non Renewable,Natural Gas,19,,Warumungu,Northern Territory,133.823587,-19.443393,
Condong Sugar Mill,Renewable,Biomass,30,1,Condong,New South Wales,153.43411,-28.313802,Steam Subcritical
Appin (Mine),Non Renewable,Natural Gas,55.6,54,Appin,New South Wales,150.772181,-34.208185,Spark Ignition Reciprocating Engine
Bayswater,Non Renewable,Coal,2640,4,Muswellbrook,New South Wales,150.94913,-32.39527,Steam Subcritical
Bendeela (Shoalhaven Scheme),Renewable,Water,240,4,Kangaroo Valley,New South Wales,150.46687,-34.73369,Hydroelectric (Pumped Storage)
Blowering,Renewable,Water,70,1,Wereboldera,New South Wales,148.246272,-35.398601,Hydroelectric (Gravity)
Broadwater,Renewable,Biomass,38,2,Broadwater,New South Wales,153.433481,-29.011828,Cogeneration - Steam Subcritical
Brown Mountain,Renewable,Water,4.95,5,Bemboka,New South Wales,149.4740422,-36.59508977,Hydroelectric (Gravity)
Capral (Aluminium Smelter),Non Renewable,Natural Gas,300,3,Loxford,New South Wales,151.481305,-32.789723,
Colongra,Non Renewable,Natural Gas,724,4,Colongra,New South Wales,151.544785,-33.209869,Open Cycle Gas Turbine
EarthPower Biomass Plant,Renewable,Biogas,3.9,,Camellia,New South Wales,151.042037,-33.820373,Spark Ignition Reciprocating Engine
Eraring,Non Renewable,Distillate,41.5,1,Eraring,New South Wales,151.5223301,-33.06174875,Open Cycle Gas Turbine
Visy Pulp and Paper Tumut,Renewable,Biomass,20,1,Gadara,New South Wales,148.137052,-35.295933,Cogeneration
Glenbawn,Renewable,Water,5.8,1,Glenbawn,New South Wales,150.998154,-32.109661,Hydroelectric (Gravity)
Glennies Creek,Non Renewable,Coal Seam Methane,13,13,Middle Falbrook,New South Wales,151.128627,-32.459843,Reciprocating Engine
Hunter,Non Renewable,Distillate,29,16,Abermain,New South Wales,151.450471,-32.836021,Compression Reciprocating Engine
Hunter Valley,Non Renewable,Natural Gas,50,2,Muswellbrook,New South Wales,150.966396,-32.389253,Open Cycle Gas Turbine
Kangaroo Valley (Shoalhaven Scheme),Renewable,Water,160,2,Kangaroo Valley,New South Wales,150.47953,-34.72297,Hydroelectric (Pumped Storage)
Liddell,Non Renewable,Coal,2200,4,Muswellbrook,New South Wales,150.97757,-32.371267,Steam Subcritical
Mt Piper,Non Renewable,Coal,1400,2,Blackmans Flat,New South Wales,150.0313223,-33.35889223,Steam Subcritical
Munmorah,Non Renewable,Coal,600,2,Colongra,New South Wales,151.541837,-33.211691,Steam Subcritical
Nymboida,Renewable,Water,33.6,7,Nymboida,New South Wales,152.741708,-29.925738,Hydroelectric (Gravity)
Oaky,Renewable,Water,4.8,5,Wollomombi,New South Wales,152.06897,-30.575119,Hydroelectric (Gravity)
Redbank,Non Renewable,Coal,150,1,Warkworth,New South Wales,151.071936,-32.580206,Steam Subcritical
Smithfield Energy,Non Renewable,Natural Gas,170.9,3,Smithfield,New South Wales,150.949466,-33.85004,Combined Cycle Gas Turbine
Tahmoor,Non Renewable,Coal Seam Methane,7,7,Bargo,New South Wales,150.58077,-34.248233,Reciprocating Engine
Tallawarra,Non Renewable,Natural Gas,460,1,Yallah,New South Wales,150.808056,-34.522778,Combined Cycle Gas Turbine
Teralba,Non Renewable,Natural Gas,3,4,Teralba,New South Wales,151.611907,-32.94549,Spark Ignition Reciprocating Engine
Tomago Aluminium Smelter,Non Renewable,Natural Gas,810,3,Tomago,New South Wales,151.7178091,-32.82165122,
Tower Mine,Non Renewable,Coal Seam Methane,41.2,40,Douglas Park,New South Wales,150.717941,-34.220692,Reciprocating Engine
Tumut 1 (Upper Tumut),Renewable,Water,616,4,Cabramurra,New South Wales,148.36371,-35.951729,Hydroelectric (Gravity)
Tumut 2 (Upper Tumut),Renewable,Water,336,4,Cabramurra,New South Wales,148.3672174,-35.8813841,Hydroelectric (Gravity)
Uranquinty,Non Renewable,Natural Gas,664,4,Uranquinty,New South Wales,147.215692,-35.179395,Open Cycle Gas Turbine
Vales Point B,Non Renewable,Coal,1360,2,Mannering Park,New South Wales,151.543146,-33.160745,Steam Subcritical
Wallerawang C,Non Renewable,Coal,500,2,Wallerawang,New South Wales,150.083345,-33.40282363,Steam Subcritical
Warragamba,Renewable,Water,50,1,Warragamba,New South Wales,150.5965406,-33.88324223,Hydroelectric (Gravity)
West Illawarra Leagues Club,Non Renewable,Distillate,1,,Unanderra,New South Wales,150.842907,-34.451537,Compression Reciprocating Engine
Western Suburbs Leagues Club (Campbelltown),Non Renewable,Distillate,1,,Leumeah,New South Wales,150.83286,-34.051326,
Burrendong,Renewable,Water,19,1,Yarragal,New South Wales,149.107986,-32.664616,Hydroelectric (Gravity)
Copeton,Renewable,Water,24,1,Copeton,New South Wales,150.923462,-29.910198,Hydroelectric (Gravity)
Wilga Park,Non Renewable,Coal Seam Methane,16,11,Bohena Creek,New South Wales,149.677153,-30.363437,Reciprocating Engine
Guthega,Renewable,Water,80,2,Kosciuszko National Park,New South Wales,148.413528,-36.350098,Hydroelectric (Gravity)
Lake Keepit,Renewable,Water,6.5,1,Keepit,New South Wales,150.491399,-30.879189,Hydroelectric (Gravity)
Broken Hill,Non Renewable,Natural Gas,50,2,Broken Hill,New South Wales,141.420334,-31.986296,Open Cycle Gas Turbine
Eraring,Non Renewable,Coal,2880,4,Eraring,New South Wales,151.5206479,-33.06207492,Steam Subcritical
Maryvale Mill,Renewable,Biomass,54.5,,Maryvale,Victoria,146.4479463,-38.18089277,
Grasmere Wind Farm (Albany stage II),Renewable,Wind,13.8,6,,Western Australia,117.7637609,-35.05065052,Wind Turbine
Tully Sugar Mill,Renewable,Biomass,21.4,,Tully,Queensland,145.9266525,-17.93731765,Steam Subcritical
Proserpine Sugar Mill,Renewable,Biomass,17,4,Proserpine,Queensland,148.5797163,-20.39854476,Cogeneration
North Sydney,Non Renewable,Natural Gas,0.8,1,North Sydney,New South Wales,151.2053942,-33.83838156,Spark Ignition Reciprocating Engine
Sydney,Non Renewable,Natural Gas,0.8,1,Sydney,New South Wales,151.2091,-33.871547,Spark Ignition Reciprocating Engine
North Sydney,Non Renewable,Natural Gas,2.4,2,North Sydney,New South Wales,151.2069282,-33.83981189,Spark Ignition Reciprocating Engine
Blackmores,Non Renewable,Natural Gas,0.8,2,Warriewood,New South Wales,151.2908047,-33.67777003,Spark Ignition Reciprocating Engine
Nine Network,Non Renewable,Distillate,3.2,,Willoughby,New South Wales,151.1966227,-33.81096413,Compression Reciprocating Engine
Revesby Workers Club,Non Renewable,Distillate,2.5,1,Revesby,New South Wales,151.0137332,-33.95343975,Compression Reciprocating Engine
St George Leagues Club,Non Renewable,Distillate,1,1,Kogarah,New South Wales,151.129381,-33.97481738,Compression Reciprocating Engine
University of New South Wales,Non Renewable,Natural Gas,0.8,1,Kensington,New South Wales,151.2353527,-33.91670428,Spark Ignition Reciprocating Engine
Norseman Mine,Non Renewable,Distillate,9,,Norseman,Western Australia,121.7943338,-32.1962648,
Darlot Gold Mine,Non Renewable,Natural Gas,11.7,,,Western Australia,121.2697661,-27.89720716,
Windimurra Vanadium Mine,Non Renewable,Natural Gas,23.7,7,,Western Australia,118.537147,-28.29331302,
Rottnest Island Wind Turbine,Renewable,Wind,0.6,1,Rottnest Island,Western Australia,115.5289139,-31.99375199,Wind Turbine
Cloudbreak,Non Renewable,Distillate,44,18,Mulga Downs,Western Australia,119.404017,-22.32471027,
Port Hedland,Non Renewable,Natural Gas,84,2,Boodarie,Western Australia,118.5383743,-20.37817896,
Noranda,Renewable,Biogas,1.1,1,Noranda,Western Australia,115.8773271,-31.8653894,
Red Hill,Renewable,Biogas,3.65,4,Red Hill,Western Australia,116.0992397,-31.83165058,
Shenton Park WMRC Project,Renewable,Biogas,1,,Shenton Park,Western Australia,115.7924435,-31.95766666,
Kalamunda,Non Renewable,Distillate,1.3,1,Kalamunda,Western Australia,115.9987933,-31.97677862,
Canning Vale,Renewable,Biogas,4,1,Canning Vale,Western Australia,115.8914057,-32.07389875,
